"","window1_start","window1_end","window2_start","window2_end","dim0","dim1","dim2"
"1",1928-01-01,1929-06-01,1928-02-01,1929-07-01,0.00396084358760945,0,0
"2",1928-02-01,1929-07-01,1928-03-01,1929-08-01,0.0758296650215871,0,0
"3",1928-03-01,1929-08-01,1928-04-01,1929-09-01,0.0474823172653262,0.0193579807531636,0
"4",1928-04-01,1929-09-01,1928-05-01,1929-10-01,0.841307731688581,0.0194375596515455,0
"5",1928-05-01,1929-10-01,1928-06-01,1929-11-01,5.66367968208198,0.00374766511202059,0
"6",1928-06-01,1929-11-01,1928-07-01,1929-12-01,1.25202342556956,0,0
"7",1928-07-01,1929-12-01,1928-08-01,1930-01-01,0.042092204389214,0,0
"8",1928-08-01,1930-01-01,1928-09-01,1930-02-01,0.0183806186254995,0.0067121248313241,0
"9",1928-09-01,1930-02-01,1928-10-01,1930-03-01,0.263769895065421,0,0
"10",1928-10-01,1930-03-01,1928-11-01,1930-04-01,0.00617706982443684,0.00641775703113531,0
"11",1928-11-01,1930-04-01,1928-12-01,1930-05-01,1.44395749656516,0.250069019175249,0
"12",1928-12-01,1930-05-01,1929-01-01,1930-06-01,0.0605996812041141,0,0
"13",1929-01-01,1930-06-01,1929-02-01,1930-07-01,0.351857523913799,0.285742790337358,0
"14",1929-02-01,1930-07-01,1929-03-01,1930-08-01,0.383192653766808,0.0366155943263188,0
"15",1929-03-01,1930-08-01,1929-04-01,1930-09-01,0.101337856988804,0,0
"16",1929-04-01,1930-09-01,1929-05-01,1930-10-01,0.920523824828471,0,0
"17",1929-05-01,1930-10-01,1929-06-01,1930-11-01,0.0753434638513295,0,0
"18",1929-06-01,1930-11-01,1929-07-01,1930-12-01,0.0190572683377282,0,0
"19",1929-07-01,1930-12-01,1929-08-01,1931-01-01,5.51646999003548,0,0
"20",1929-08-01,1931-01-01,1929-09-01,1931-02-01,0.0473085717927393,0,0
"21",1929-09-01,1931-02-01,1929-10-01,1931-03-01,0.202383832556097,0,0
"22",1929-10-01,1931-03-01,1929-11-01,1931-04-01,0.121995459269093,0,0
"23",1929-11-01,1931-04-01,1929-12-01,1931-05-01,3.78617002502244,0,0
"24",1929-12-01,1931-05-01,1930-01-01,1931-06-01,0.302026740141202,0.250872803988961,0
"25",1930-01-01,1931-06-01,1930-02-01,1931-07-01,0.160144883896014,0,0
"26",1930-02-01,1931-07-01,1930-03-01,1931-08-01,0.106340263219629,0,0
"27",1930-03-01,1931-08-01,1930-04-01,1931-09-01,0.108238587641163,0,0
"28",1930-04-01,1931-09-01,1930-05-01,1931-10-01,0.0913978547379554,0,0
"29",1930-05-01,1931-10-01,1930-06-01,1931-11-01,0.0256627451040788,0,0
"30",1930-06-01,1931-11-01,1930-07-01,1931-12-01,0.520131571053883,0,0
"31",1930-07-01,1931-12-01,1930-08-01,1932-01-01,6.65322130556827,0,0
"32",1930-08-01,1932-01-01,1930-09-01,1932-02-01,0.00960091572786059,0,0
"33",1930-09-01,1932-02-01,1930-10-01,1932-03-01,0.0208621057160551,0,0
"34",1930-10-01,1932-03-01,1930-11-01,1932-04-01,2.14562409487219,0,0
"35",1930-11-01,1932-04-01,1930-12-01,1932-05-01,0.203904790637046,0,0
"36",1930-12-01,1932-05-01,1931-01-01,1932-06-01,0.209325891031278,0,0
"37",1931-01-01,1932-06-01,1931-02-01,1932-07-01,5.8566617164109,0,0
"38",1931-02-01,1932-07-01,1931-03-01,1932-08-01,19.0587388913378,0,0
"39",1931-03-01,1932-08-01,1931-04-01,1932-09-01,4.42344732863823,0,0
"40",1931-04-01,1932-09-01,1931-05-01,1932-10-01,0.698254904275165,0,0
"41",1931-05-01,1932-10-01,1931-06-01,1932-11-01,0.395845809308123,0.256660558206435,0
"42",1931-06-01,1932-11-01,1931-07-01,1932-12-01,0.0175734419643551,0,0
"43",1931-07-01,1932-12-01,1931-08-01,1933-01-01,0.915683760153736,0,0
"44",1931-08-01,1933-01-01,1931-09-01,1933-02-01,0.315865755693223,0.0117073537479093,0
"45",1931-09-01,1933-02-01,1931-10-01,1933-03-01,0.558549846806409,0,0
"46",1931-10-01,1933-03-01,1931-11-01,1933-04-01,0.0664386671572707,0,0
"47",1931-11-01,1933-04-01,1931-12-01,1933-05-01,3.77357698684269,0,0
"48",1931-12-01,1933-05-01,1932-01-01,1933-06-01,1.18962358317964,0.00462687388105916,0
"49",1932-01-01,1933-06-01,1932-02-01,1933-07-01,2.19173424507549,0,0
"50",1932-02-01,1933-07-01,1932-03-01,1933-08-01,0.869220391847698,0.00474593883856569,0
"51",1932-03-01,1933-08-01,1932-04-01,1933-09-01,0.255213287295359,0.0100999074812793,0
"52",1932-04-01,1933-09-01,1932-05-01,1933-10-01,1.82995000877841,0,0
"53",1932-05-01,1933-10-01,1932-06-01,1933-11-01,0.0529256377478632,0.0686226275891959,0
"54",1932-06-01,1933-11-01,1932-07-01,1933-12-01,0.543481703906511,0.0253978909801277,0
"55",1932-07-01,1933-12-01,1932-08-01,1934-01-01,0.573798259552442,0.287450846305939,0
"56",1932-08-01,1934-01-01,1932-09-01,1934-02-01,11.9540548626412,0.250119698226742,0
"57",1932-09-01,1934-02-01,1932-10-01,1934-03-01,0.789031780217466,1.68495120208547e-05,0
"58",1932-10-01,1934-03-01,1932-11-01,1934-04-01,0.510003249545813,1.68495120208547e-05,0
"59",1932-11-01,1934-04-01,1932-12-01,1934-05-01,0.312362601919054,0.0110721249831028,0
"60",1932-12-01,1934-05-01,1933-01-01,1934-06-01,0.182876576036618,0.0151129137792199,0
"61",1933-01-01,1934-06-01,1933-02-01,1934-07-01,1.50036163004291,0.000119698226741825,0
"62",1933-02-01,1934-07-01,1933-03-01,1934-08-01,0.233649999128262,0.0151129137792199,0
"63",1933-03-01,1934-08-01,1933-04-01,1934-09-01,0.11798479740439,0,0
"64",1933-04-01,1934-09-01,1933-05-01,1934-10-01,0.0539759323514233,0.135889689554817,0
"65",1933-05-01,1934-10-01,1933-06-01,1934-11-01,0.465131343018992,0,0
"66",1933-06-01,1934-11-01,1933-07-01,1934-12-01,2.10830942130412,0,0
"67",1933-07-01,1934-12-01,1933-08-01,1935-01-01,0.242608383910514,0,0
"68",1933-08-01,1935-01-01,1933-09-01,1935-02-01,0.156318959599883,0.125201004768776,0
"69",1933-09-01,1935-02-01,1933-10-01,1935-03-01,0.128686527428056,0.00281008441174112,0
"70",1933-10-01,1935-03-01,1933-11-01,1935-04-01,0.0295951176463202,0.00105683160384268,0
"71",1933-11-01,1935-04-01,1933-12-01,1935-05-01,0.0396152480311176,0.010696540496557,0
"72",1933-12-01,1935-05-01,1934-01-01,1935-06-01,0.108659463508866,0.0058360564087278,0
"73",1934-01-01,1935-06-01,1934-02-01,1935-07-01,13.9808677621488,0.0205741542724068,0
"74",1934-02-01,1935-07-01,1934-03-01,1935-08-01,0.0364146941227863,0.0158118834737318,0
"75",1934-03-01,1935-08-01,1934-04-01,1935-09-01,0.191034807784337,0.0158118834737318,0
"76",1934-04-01,1935-09-01,1934-05-01,1935-10-01,0.144608423152794,0.0417274996395246,0
"77",1934-05-01,1935-10-01,1934-06-01,1935-11-01,0.0887267480870762,0.00311978296988721,0
"78",1934-06-01,1935-11-01,1934-07-01,1935-12-01,0.275865297407856,0.0352456258241814,0
"79",1934-07-01,1935-12-01,1934-08-01,1936-01-01,0.0623435642290906,0.000237950421480264,0
"80",1934-08-01,1936-01-01,1934-09-01,1936-02-01,0.0319850604692404,0.000617640214579035,0
"81",1934-09-01,1936-02-01,1934-10-01,1936-03-01,1.67954253189233,0,0
"82",1934-10-01,1936-03-01,1934-11-01,1936-04-01,0.342333796513785,0,0
"83",1934-11-01,1936-04-01,1934-12-01,1936-05-01,0.0682780341755364,0,0
"84",1934-12-01,1936-05-01,1935-01-01,1936-06-01,0.0338559115012432,0.00321737360291538,0
"85",1935-01-01,1936-06-01,1935-02-01,1936-07-01,0.0985879159460238,9.75906330281613e-05,0
"86",1935-02-01,1936-07-01,1935-03-01,1936-08-01,0.180595264157605,0,0
"87",1935-03-01,1936-08-01,1935-04-01,1936-09-01,0.211613557794284,0.00105589735587707,0
"88",1935-04-01,1936-09-01,1935-05-01,1936-10-01,0.00929485369641248,0.000688319890478085,0
"89",1935-05-01,1936-10-01,1935-06-01,1936-11-01,0.0416260330437482,0,0
"90",1935-06-01,1936-11-01,1935-07-01,1936-12-01,0.173078598167613,0.000450369468997821,0
"91",1935-07-01,1936-12-01,1935-08-01,1937-01-01,0.00367803695997113,0,0
"92",1935-08-01,1937-01-01,1935-09-01,1937-02-01,0.116143865444793,0,0
"93",1935-09-01,1937-02-01,1935-10-01,1937-03-01,0.0791806397727568,0.00208941490211244,0
"94",1935-10-01,1937-03-01,1935-11-01,1937-04-01,0.111911274622992,0.000225435920783498,0
"95",1935-11-01,1937-04-01,1935-12-01,1937-05-01,0.092293013890812,0.0022450759483848,0
"96",1935-12-01,1937-05-01,1936-01-01,1937-06-01,0.1030180797497,0.0076463332570052,0
"97",1936-01-01,1937-06-01,1936-02-01,1937-07-01,0.123401041177925,0,0
