"Target","Overlap","Window","Lasso AUC","Logit AUC","Lambda","Features Kept"
"12 Months","overlapping",6,"0.497","0.497","1.34e-03","D0, D1, D0xD1"
"12 Months","overlapping",12,"0.379","0.391","1.84e-02","D0, D1"
"12 Months","overlapping",18,"0.411","0.398","2.94e-03","D0, D1, D2, D0xD1, D0xD2, D1xD2"
"12 Months","overlapping",24,"0.5","0.396","8.90e-02","None"
"12 Months","overlapping",36,"0.442","0.442","2.26e-03","D0, D1, D2, D0xD1, D0xD2, D1xD2"
"12 Months","nonoverlapping",8,"0.309","0.55","4.05e-02","D0xD1"
"12 Months","nonoverlapping",12,"0.227","0.439","6.85e-02","D1"
"18 Months","overlapping",6,"0.5","0.464","4.05e-02","None"
"18 Months","overlapping",12,"0.5","0.399","6.85e-02","None"
"18 Months","overlapping",18,"0.5","0.455","6.85e-02","None"
"18 Months","overlapping",24,"0.5","0.402","1.50e-01","None"
"18 Months","overlapping",36,"0.525","0.508","4.97e-03","D1, D2, D0xD2, D1xD2"
"18 Months","nonoverlapping",8,"0.468","0.495","3.61e-04","D0, D1, D0xD1"
"18 Months","nonoverlapping",12,"0.464","0.5","6.46e-03","D0, D1"
"6 Months","overlapping",6,"0.5","0.478","2.40e-02","None"
"6 Months","overlapping",12,"0.451","0.407","2.40e-02","D0"
"6 Months","overlapping",18,"0.595","0.44","2.40e-02","D0xD1"
"6 Months","overlapping",24,"0.5","0.441","6.85e-02","None"
"6 Months","overlapping",36,"0.565","0.537","1.34e-03","D0, D1, D2, D0xD1, D0xD2, D1xD2"
"6 Months","nonoverlapping",8,"0.5","0.443","1.16e-01","None"
"6 Months","nonoverlapping",12,"0.5","0.167","6.85e-02","None"
