"Target","Overlap","Window","Lasso AUC","Logit AUC","Lambda","Features Kept"
"12 Months","overlapping",6,"0.5","0.566","8.90e-02","None"
"12 Months","overlapping",12,"0.5","0.533","6.85e-02","None"
"12 Months","overlapping",18,"0.629","0.627","5.75e-05","D0, D1, D0xD1"
"12 Months","overlapping",24,"0.51","0.511","1.00e-08","D0, D1, D2, D0xD1"
"12 Months","overlapping",36,"0.449","0.435","1.00e-08","D1, D2, D0xD2, D1xD2"
"12 Months","nonoverlapping",8,"0.5","0.659","1.16e-01","None"
"12 Months","nonoverlapping",12,"0.697","0.697","8.40e-03","D0, D1, D0xD1"
"18 Months","overlapping",6,"0.5","0.504","1.16e-01","None"
"18 Months","overlapping",12,"0.47","0.469","1.00e-08","D0, D1, D0xD1"
"18 Months","overlapping",18,"0.5","0.585","4.05e-02","None"
"18 Months","overlapping",24,"0.479","0.48","1.74e-03","D0, D1, D2, D0xD1"
"18 Months","overlapping",36,"0.532","0.53","1.64e-04","D0, D1, D2, D0xD2, D1xD2"
"18 Months","nonoverlapping",8,"0.5","0.565","1.50e-01","None"
"18 Months","nonoverlapping",12,"0.581","0.588","8.40e-03","D1, D0xD1"
"6 Months","overlapping",6,"0.5","0.64","4.05e-02","None"
"6 Months","overlapping",12,"0.5","0.4","4.05e-02","None"
"6 Months","overlapping",18,"0.684","0.682","4.42e-05","D0, D1, D0xD1"
"6 Months","overlapping",24,"0.543","0.538","1.03e-03","D0, D1, D2, D0xD1"
"6 Months","overlapping",36,"0.409","0.418","1.34e-03","D0, D1, D2, D0xD1"
"6 Months","nonoverlapping",8,"0.5","0.694","8.90e-02","None"
"6 Months","nonoverlapping",12,"0.696","0.696","1.00e-08","D0, D1, D0xD1"
