"Target","Overlap","Window","Lasso AUC","Logit AUC","Lambda","Features Kept"
"12 Months","overlapping",6,"0.383","0.384","1.84e-02","D0, D0xD1"
"12 Months","overlapping",12,"0.5","0.556","4.05e-02","None"
"12 Months","overlapping",18,"0.57","0.55","3.82e-03","D1, D0xD1, D0xD2, D1xD2"
"12 Months","overlapping",24,"0.437","0.454","3.61e-04","D1, D2, D0xD1, D0xD2, D1xD2"
"12 Months","overlapping",36,"0.559","0.557","6.09e-04","D0, D1, D2, D0xD1, D0xD2, D1xD2"
"12 Months","nonoverlapping",8,"0.5","0.806","8.90e-02","None"
"12 Months","nonoverlapping",12,"0.5","0.485","6.85e-02","None"
"18 Months","overlapping",6,"0.419","0.433","2.40e-02","D0, D0xD1"
"18 Months","overlapping",12,"0.504","0.588","1.84e-02","D2"
"18 Months","overlapping",18,"0.59","0.571","1.00e-08","D0, D1, D2, D0xD1, D0xD2, D1xD2"
"18 Months","overlapping",24,"0.509","0.513","8.40e-03","D0, D1, D2, D0xD1, D0xD2, D1xD2"
"18 Months","overlapping",36,"0.502","0.535","1.09e-02","D0, D1, D2, D0xD2, D1xD2"
"18 Months","nonoverlapping",8,"0.575","0.581","1.00e-08","D0, D1, D0xD1"
"18 Months","nonoverlapping",12,"0.5","0.63","6.85e-02","None"
"6 Months","overlapping",6,"0.382","0.419","6.46e-03","D0, D1, D0xD1"
"6 Months","overlapping",12,"0.5","0.486","4.05e-02","None"
"6 Months","overlapping",18,"0.565","0.521","1.26e-04","D0, D1, D2, D0xD1"
"6 Months","overlapping",24,"0.484","0.547","6.46e-03","D0xD2, D1xD2"
"6 Months","overlapping",36,"0.566","0.493","2.26e-03","D0, D1, D2"
"6 Months","nonoverlapping",8,"0.221","0.461","5.27e-02","D1"
"6 Months","nonoverlapping",12,"0.435","0.435","1.00e-04*","D0, D1"
