"date","GDP","GDPC1","A939RX0Q048SBEA","UNRATE","U6RATE"
2020-01-01,21751.238,20709.212,62463,3.6,7
2020-04-01,19958.291,19077.992,57504,14.8,22.9
2020-07-01,21704.437,20558.879,61936,10.2,16.5
2020-10-01,22087.16,20791.917,62605,6.9,12.1
2021-01-01,22680.693,21082.134,63490,6.4,11.2
2021-04-01,23425.91,21440.929,64539,6.1,10.3
2021-07-01,23982.379,21617.828,64990,5.4,9.2
2021-10-01,24813.6,21988.737,66011,4.5,8.2
2022-01-01,25250.347,21932.71,65773,4,7.1
2022-04-01,25861.292,21967.045,65777,3.7,7
2022-07-01,26336.304,22125.625,66120,3.5,6.8
2022-10-01,26770.514,22278.345,66433,3.6,6.7
2023-01-01,27216.445,22439.607,66789,3.5,6.7
2023-04-01,27530.055,22580.499,67077,3.4,6.6
2023-07-01,28074.846,22840.989,67689,3.5,6.7
2023-10-01,28424.722,23033.78,68089,3.9,7.2
2024-01-01,28708.161,23082.119,68082,3.7,7.2
2024-04-01,29147.044,23286.508,68524,3.9,7.4
2024-07-01,29511.664,23478.57,68951,4.2,7.8
2024-10-01,29825.182,23586.542,69168,4.1,7.7
2025-01-01,30042.113,23548.21,68979,4,7.5
2025-04-01,30485.729,23770.976,69549,4.2,7.8
2025-07-01,31098.027,24026.834,70218,4.3,7.9
2025-10-01,31490.07,24111.83,70413,NA,NA
2020-02-01,NA,NA,NA,3.5,7
2020-03-01,NA,NA,NA,4.4,8.8
2020-05-01,NA,NA,NA,13.2,21.1
2020-06-01,NA,NA,NA,11,18
2020-08-01,NA,NA,NA,8.4,14.2
2020-09-01,NA,NA,NA,7.8,12.8
2020-11-01,NA,NA,NA,6.7,11.9
2020-12-01,NA,NA,NA,6.7,11.7
2021-02-01,NA,NA,NA,6.2,11.1
2021-03-01,NA,NA,NA,6.1,10.8
2021-05-01,NA,NA,NA,5.8,10.1
2021-06-01,NA,NA,NA,5.9,9.8
2021-08-01,NA,NA,NA,5.1,8.8
2021-09-01,NA,NA,NA,4.7,8.4
2021-11-01,NA,NA,NA,4.1,7.7
2021-12-01,NA,NA,NA,3.9,7.3
2022-02-01,NA,NA,NA,3.9,7.2
2022-03-01,NA,NA,NA,3.7,7
2022-05-01,NA,NA,NA,3.6,7.1
2022-06-01,NA,NA,NA,3.6,6.7
2022-08-01,NA,NA,NA,3.6,6.9
2022-09-01,NA,NA,NA,3.5,6.7
2022-11-01,NA,NA,NA,3.6,6.7
2022-12-01,NA,NA,NA,3.5,6.6
2023-02-01,NA,NA,NA,3.6,6.8
2023-03-01,NA,NA,NA,3.5,6.7
2023-05-01,NA,NA,NA,3.6,6.7
2023-06-01,NA,NA,NA,3.6,6.9
2023-08-01,NA,NA,NA,3.7,7.1
2023-09-01,NA,NA,NA,3.7,7
2023-11-01,NA,NA,NA,3.7,7
2023-12-01,NA,NA,NA,3.8,7.2
2024-02-01,NA,NA,NA,3.9,7.3
2024-03-01,NA,NA,NA,3.9,7.3
2024-05-01,NA,NA,NA,3.9,7.4
2024-06-01,NA,NA,NA,4.1,7.4
2024-08-01,NA,NA,NA,4.2,7.8
2024-09-01,NA,NA,NA,4.1,7.7
2024-11-01,NA,NA,NA,4.2,7.7
2024-12-01,NA,NA,NA,4.1,7.6
2025-02-01,NA,NA,NA,4.2,8
2025-03-01,NA,NA,NA,4.2,7.9
2025-05-01,NA,NA,NA,4.3,7.8
2025-06-01,NA,NA,NA,4.1,7.7
2025-08-01,NA,NA,NA,4.3,8.1
2025-09-01,NA,NA,NA,4.4,8.1
2025-11-01,NA,NA,NA,4.5,8.7
2025-12-01,NA,NA,NA,4.4,8.4
2026-01-01,NA,NA,NA,4.3,8.1
2026-02-01,NA,NA,NA,4.4,7.9
