date,trend
Jan 2004,4
Feb 2004,5
Mar 2004,4
Apr 2004,5
May 2004,4
Jun 2004,4
Jul 2004,3
Aug 2004,3
Sep 2004,5
Oct 2004,6
Nov 2004,5
Dec 2004,3
Jan 2005,3
Feb 2005,4
Mar 2005,3
Apr 2005,4
May 2005,4
Jun 2005,3
Jul 2005,2
Aug 2005,3
Sep 2005,4
Oct 2005,4
Nov 2005,4
Dec 2005,4
Jan 2006,3
Feb 2006,3
Mar 2006,4
Apr 2006,4
May 2006,4
Jun 2006,3
Jul 2006,3
Aug 2006,4
Sep 2006,4
Oct 2006,4
Nov 2006,4
Dec 2006,4
Jan 2007,3
Feb 2007,6
Mar 2007,6
Apr 2007,4
May 2007,4
Jun 2007,3
Jul 2007,2
Aug 2007,6
Sep 2007,11
Oct 2007,8
Nov 2007,14
Dec 2007,12
Jan 2008,59
Feb 2008,28
Mar 2008,32
Apr 2008,30
May 2008,16
Jun 2008,13
Jul 2008,16
Aug 2008,16
Sep 2008,37
Oct 2008,52
Nov 2008,40
Dec 2008,50
Jan 2009,38
Feb 2009,47
Mar 2009,45
Apr 2009,34
May 2009,28
Jun 2009,20
Jul 2009,21
Aug 2009,18
Sep 2009,22
Oct 2009,23
Nov 2009,22
Dec 2009,18
Jan 2010,16
Feb 2010,16
Mar 2010,15
Apr 2010,16
May 2010,13
Jun 2010,13
Jul 2010,11
Aug 2010,12
Sep 2010,16
Oct 2010,13
Nov 2010,14
Dec 2010,11
Jan 2011,10
Feb 2011,10
Mar 2011,14
Apr 2011,12
May 2011,10
Jun 2011,11
Jul 2011,10
Aug 2011,19
Sep 2011,16
Oct 2011,15
Nov 2011,14
Dec 2011,11
Jan 2012,9
Feb 2012,10
Mar 2012,9
Apr 2012,11
May 2012,10
Jun 2012,8
Jul 2012,8
Aug 2012,7
Sep 2012,11
Oct 2012,11
Nov 2012,12
Dec 2012,8
Jan 2013,7
Feb 2013,8
Mar 2013,8
Apr 2013,9
May 2013,8
Jun 2013,5
Jul 2013,5
Aug 2013,5
Sep 2013,6
Oct 2013,8
Nov 2013,8
Dec 2013,6
Jan 2014,6
Feb 2014,7
Mar 2014,7
Apr 2014,9
May 2014,8
Jun 2014,6
Jul 2014,5
Aug 2014,5
Sep 2014,6
Oct 2014,8
Nov 2014,9
Dec 2014,7
Jan 2015,6
Feb 2015,7
Mar 2015,8
Apr 2015,9
May 2015,7
Jun 2015,5
Jul 2015,5
Aug 2015,6
Sep 2015,9
Oct 2015,8
Nov 2015,8
Dec 2015,8
Jan 2016,10
Feb 2016,12
Mar 2016,10
Apr 2016,12
May 2016,10
Jun 2016,8
Jul 2016,6
Aug 2016,5
Sep 2016,8
Oct 2016,9
Nov 2016,11
Dec 2016,8
Jan 2017,8
Feb 2017,9
Mar 2017,9
Apr 2017,10
May 2017,9
Jun 2017,5
Jul 2017,5
Aug 2017,5
Sep 2017,7
Oct 2017,9
Nov 2017,9
Dec 2017,8
Jan 2018,8
Feb 2018,11
Mar 2018,9
Apr 2018,11
May 2018,10
Jun 2018,10
Jul 2018,8
Aug 2018,8
Sep 2018,10
Oct 2018,13
Nov 2018,12
Dec 2018,20
Jan 2019,13
Feb 2019,12
Mar 2019,15
Apr 2019,14
May 2019,13
Jun 2019,11
Jul 2019,11
Aug 2019,47
Sep 2019,22
Oct 2019,18
Nov 2019,14
Dec 2019,12
Jan 2020,11
Feb 2020,17
Mar 2020,74
Apr 2020,35
May 2020,19
Jun 2020,15
Jul 2020,11
Aug 2020,10
Sep 2020,11
Oct 2020,10
Nov 2020,11
Dec 2020,8
Jan 2021,7
Feb 2021,8
Mar 2021,8
Apr 2021,9
May 2021,8
Jun 2021,5
Jul 2021,5
Aug 2021,4
Sep 2021,7
Oct 2021,8
Nov 2021,8
Dec 2021,7
Jan 2022,9
Feb 2022,12
Mar 2022,23
Apr 2022,40
May 2022,50
Jun 2022,100
Jul 2022,82
Aug 2022,34
Sep 2022,34
Oct 2022,42
Nov 2022,33
Dec 2022,27
Jan 2023,28
Feb 2023,22
Mar 2023,27
Apr 2023,25
May 2023,25
Jun 2023,17
Jul 2023,13
Aug 2023,16
Sep 2023,15
Oct 2023,18
Nov 2023,15
Dec 2023,13
Jan 2024,12
Feb 2024,16
Mar 2024,13
Apr 2024,15
May 2024,14
Jun 2024,10
Jul 2024,10
Aug 2024,27
Sep 2024,16
Oct 2024,12
Nov 2024,14
Dec 2024,11
Jan 2025,10
Feb 2025,17
Mar 2025,48
Apr 2025,56
May 2025,20
Jun 2025,14
Jul 2025,14
Aug 2025,14
Sep 2025,16
Oct 2025,18
Nov 2025,18
Dec 2025,15
Jan 2026,14
Feb 2026,21
Mar 2026,23
Apr 2026,17
