symbol,date,price
HOUST,1959-01-01,1657
HOUST,1959-02-01,1667
HOUST,1959-03-01,1620
HOUST,1959-04-01,1590
HOUST,1959-05-01,1498
HOUST,1959-06-01,1503
HOUST,1959-07-01,1547
HOUST,1959-08-01,1430
HOUST,1959-09-01,1540
HOUST,1959-10-01,1355
HOUST,1959-11-01,1416
HOUST,1959-12-01,1601
HOUST,1960-01-01,1460
HOUST,1960-02-01,1503
HOUST,1960-03-01,1109
HOUST,1960-04-01,1289
HOUST,1960-05-01,1271
HOUST,1960-06-01,1247
HOUST,1960-07-01,1197
HOUST,1960-08-01,1344
HOUST,1960-09-01,1097
HOUST,1960-10-01,1246
HOUST,1960-11-01,1246
HOUST,1960-12-01,1063
HOUST,1961-01-01,1183
HOUST,1961-02-01,1226
HOUST,1961-03-01,1312
HOUST,1961-04-01,1166
HOUST,1961-05-01,1228
HOUST,1961-06-01,1382
HOUST,1961-07-01,1335
HOUST,1961-08-01,1312
HOUST,1961-09-01,1429
HOUST,1961-10-01,1415
HOUST,1961-11-01,1385
HOUST,1961-12-01,1365
HOUST,1962-01-01,1361
HOUST,1962-02-01,1278
HOUST,1962-03-01,1443
HOUST,1962-04-01,1524
HOUST,1962-05-01,1483
HOUST,1962-06-01,1404
HOUST,1962-07-01,1450
HOUST,1962-08-01,1517
HOUST,1962-09-01,1324
HOUST,1962-10-01,1533
HOUST,1962-11-01,1622
HOUST,1962-12-01,1564
HOUST,1963-01-01,1244
HOUST,1963-02-01,1456
HOUST,1963-03-01,1534
HOUST,1963-04-01,1689
HOUST,1963-05-01,1641
HOUST,1963-06-01,1588
HOUST,1963-07-01,1614
HOUST,1963-08-01,1639
HOUST,1963-09-01,1763
HOUST,1963-10-01,1779
HOUST,1963-11-01,1622
HOUST,1963-12-01,1491
HOUST,1964-01-01,1603
HOUST,1964-02-01,1820
HOUST,1964-03-01,1517
HOUST,1964-04-01,1448
HOUST,1964-05-01,1467
HOUST,1964-06-01,1550
HOUST,1964-07-01,1562
HOUST,1964-08-01,1569
HOUST,1964-09-01,1455
HOUST,1964-10-01,1524
HOUST,1964-11-01,1486
HOUST,1964-12-01,1484
HOUST,1965-01-01,1361
HOUST,1965-02-01,1433
HOUST,1965-03-01,1423
HOUST,1965-04-01,1438
HOUST,1965-05-01,1478
HOUST,1965-06-01,1488
HOUST,1965-07-01,1529
HOUST,1965-08-01,1432
HOUST,1965-09-01,1482
HOUST,1965-10-01,1452
HOUST,1965-11-01,1460
HOUST,1965-12-01,1656
HOUST,1966-01-01,1370
HOUST,1966-02-01,1378
HOUST,1966-03-01,1394
HOUST,1966-04-01,1352
HOUST,1966-05-01,1265
HOUST,1966-06-01,1194
HOUST,1966-07-01,1086
HOUST,1966-08-01,1119
HOUST,1966-09-01,1046
HOUST,1966-10-01,843
HOUST,1966-11-01,961
HOUST,1966-12-01,990
HOUST,1967-01-01,1067
HOUST,1967-02-01,1123
HOUST,1967-03-01,1056
HOUST,1967-04-01,1091
HOUST,1967-05-01,1304
HOUST,1967-06-01,1248
HOUST,1967-07-01,1364
HOUST,1967-08-01,1407
HOUST,1967-09-01,1421
HOUST,1967-10-01,1491
HOUST,1967-11-01,1538
HOUST,1967-12-01,1308
HOUST,1968-01-01,1380
HOUST,1968-02-01,1520
HOUST,1968-03-01,1466
HOUST,1968-04-01,1554
HOUST,1968-05-01,1408
HOUST,1968-06-01,1405
HOUST,1968-07-01,1512
HOUST,1968-08-01,1495
HOUST,1968-09-01,1556
HOUST,1968-10-01,1569
HOUST,1968-11-01,1630
HOUST,1968-12-01,1548
HOUST,1969-01-01,1769
HOUST,1969-02-01,1705
HOUST,1969-03-01,1561
HOUST,1969-04-01,1524
HOUST,1969-05-01,1583
HOUST,1969-06-01,1528
HOUST,1969-07-01,1368
HOUST,1969-08-01,1358
HOUST,1969-09-01,1507
HOUST,1969-10-01,1381
HOUST,1969-11-01,1229
HOUST,1969-12-01,1327
HOUST,1970-01-01,1085
HOUST,1970-02-01,1305
HOUST,1970-03-01,1319
HOUST,1970-04-01,1264
HOUST,1970-05-01,1290
HOUST,1970-06-01,1385
HOUST,1970-07-01,1517
HOUST,1970-08-01,1399
HOUST,1970-09-01,1534
HOUST,1970-10-01,1580
HOUST,1970-11-01,1647
HOUST,1970-12-01,1893
HOUST,1971-01-01,1828
HOUST,1971-02-01,1741
HOUST,1971-03-01,1910
