symbol,date,price
INDPRO,1919-01-01,4.8739
INDPRO,1919-02-01,4.6585
INDPRO,1919-03-01,4.5238
INDPRO,1919-04-01,4.6046
INDPRO,1919-05-01,4.6315
INDPRO,1919-06-01,4.9277
INDPRO,1919-07-01,5.2239
INDPRO,1919-08-01,5.3047
INDPRO,1919-09-01,5.197
INDPRO,1919-10-01,5.1432
INDPRO,1919-11-01,5.0624
INDPRO,1919-12-01,5.1432
INDPRO,1920-01-01,5.6279
INDPRO,1920-02-01,5.6279
INDPRO,1920-03-01,5.5201
INDPRO,1920-04-01,5.2239
INDPRO,1920-05-01,5.3586
INDPRO,1920-06-01,5.4124
INDPRO,1920-07-01,5.2778
INDPRO,1920-08-01,5.3047
INDPRO,1920-09-01,5.1162
INDPRO,1920-10-01,4.9008
INDPRO,1920-11-01,4.4969
INDPRO,1920-12-01,4.2276
INDPRO,1921-01-01,3.9853
INDPRO,1921-02-01,3.9045
INDPRO,1921-03-01,3.7968
INDPRO,1921-04-01,3.7968
INDPRO,1921-05-01,3.9045
INDPRO,1921-06-01,3.8776
INDPRO,1921-07-01,3.8506
INDPRO,1921-08-01,3.9853
INDPRO,1921-09-01,4.0122
INDPRO,1921-10-01,4.2545
INDPRO,1921-11-01,4.2007
INDPRO,1921-12-01,4.1738
INDPRO,1922-01-01,4.3353
INDPRO,1922-02-01,4.5238
INDPRO,1922-03-01,4.7662
INDPRO,1922-04-01,4.6046
INDPRO,1922-05-01,4.847
INDPRO,1922-06-01,5.0893
INDPRO,1922-07-01,5.0893
INDPRO,1922-08-01,4.9816
INDPRO,1922-09-01,5.2509
INDPRO,1922-10-01,5.5471
INDPRO,1922-11-01,5.7894
INDPRO,1922-12-01,5.951
INDPRO,1923-01-01,5.8163
INDPRO,1923-02-01,5.8971
INDPRO,1923-03-01,6.0856
INDPRO,1923-04-01,6.2203
INDPRO,1923-05-01,6.301
INDPRO,1923-06-01,6.2472
INDPRO,1923-07-01,6.1933
INDPRO,1923-08-01,6.0856
INDPRO,1923-09-01,5.951
INDPRO,1923-10-01,5.9241
INDPRO,1923-11-01,5.9241
INDPRO,1923-12-01,5.7894
INDPRO,1924-01-01,5.924
INDPRO,1924-02-01,6.0318
INDPRO,1924-03-01,5.9241
INDPRO,1924-04-01,5.7356
INDPRO,1924-05-01,5.4932
INDPRO,1924-06-01,5.2509
INDPRO,1924-07-01,5.1701
INDPRO,1924-08-01,5.3586
INDPRO,1924-09-01,5.5471
INDPRO,1924-10-01,5.6817
INDPRO,1924-11-01,5.7894
INDPRO,1924-12-01,5.951
INDPRO,1925-01-01,6.1395
INDPRO,1925-02-01,6.1395
INDPRO,1925-03-01,6.1395
INDPRO,1925-04-01,6.1933
INDPRO,1925-05-01,6.1664
INDPRO,1925-06-01,6.1125
INDPRO,1925-07-01,6.2741
INDPRO,1925-08-01,6.1664
