"","SP500","DowJones","Nasdaq","FTSE100"
"2023-01-03",3824.13989257812,33136.37109375,10386.98046875,7554.10009765625
"2023-01-04",3852.96997070312,33269.76953125,10458.759765625,7585.2001953125
"2023-01-05",3808.10009765625,32930.078125,10305.240234375,7633.5
"2023-01-06",3895.080078125,33630.609375,10569.2900390625,7699.5
"2023-01-09",3892.09008789062,33517.6484375,10635.650390625,7724.89990234375
"2023-01-10",3919.25,33704.1015625,10742.6298828125,7694.5
"2023-01-11",3969.61010742188,33973.01171875,10931.669921875,7725
"2023-01-12",3983.169921875,34189.96875,11001.099609375,7794
"2023-01-13",3999.09008789062,34302.609375,11079.16015625,7844.10009765625
"2023-01-16",NA,NA,NA,7860.10009765625
"2023-01-17",3990.96997070312,33910.8515625,11095.1103515625,7851
"2023-01-18",3928.86010742188,33296.9609375,10957.009765625,7830.7001953125
"2023-01-19",3898.85009765625,33044.55859375,10852.26953125,7747.2998046875
"2023-01-20",3972.61010742188,33375.48828125,11140.4296875,7770.60009765625
"2023-01-23",4019.81005859375,33629.55859375,11364.41015625,7784.7001953125
"2023-01-24",4016.94995117188,33733.9609375,11334.26953125,7757.39990234375
"2023-01-25",4016.21997070312,33743.83984375,11313.3603515625,7744.89990234375
"2023-01-26",4060.42993164062,33949.41015625,11512.41015625,7761.10009765625
"2023-01-27",4070.56005859375,33978.078125,11621.7099609375,7765.2001953125
"2023-01-30",4017.77001953125,33717.08984375,11393.8095703125,7784.89990234375
"2023-01-31",4076.60009765625,34086.0390625,11584.5498046875,7771.7001953125
"2023-02-01",4119.2099609375,34092.9609375,11816.3203125,7761.10009765625
"2023-02-02",4179.759765625,34053.94140625,12200.8203125,7820.2001953125
"2023-02-03",4136.47998046875,33926.01171875,12006.9501953125,7901.7998046875
"2023-02-06",4111.080078125,33891.01953125,11887.4501953125,7836.7001953125
"2023-02-07",4164,34156.69140625,12113.7900390625,7864.7001953125
"2023-02-08",4117.85986328125,33949.01171875,11910.51953125,7885.2001953125
"2023-02-09",4081.5,33699.87890625,11789.580078125,7911.2001953125
"2023-02-10",4090.4599609375,33869.26953125,11718.1201171875,7882.5
"2023-02-13",4137.2900390625,34245.9296875,11891.7900390625,7947.60009765625
"2023-02-14",4136.1298828125,34089.26953125,11960.150390625,7953.89990234375
"2023-02-15",4147.60009765625,34128.05078125,12070.58984375,7997.7998046875
"2023-02-16",4090.40991210938,33696.8515625,11855.830078125,8012.5
"2023-02-17",4079.09008789062,33826.69140625,11787.26953125,8004.39990234375
"2023-02-20",NA,NA,NA,8014.2998046875
"2023-02-21",3997.34008789062,33129.58984375,11492.2998046875,7977.7998046875
"2023-02-22",3991.05004882812,33045.08984375,11507.0703125,7930.60009765625
"2023-02-23",4012.32006835938,33153.91015625,11590.400390625,7907.7001953125
"2023-02-24",3970.0400390625,32816.921875,11394.9404296875,7878.7001953125
"2023-02-27",3982.23999023438,32889.08984375,11466.98046875,7935.10009765625
"2023-02-28",3970.14990234375,32656.69921875,11455.5400390625,7876.2998046875
"2023-03-01",3951.38989257812,32661.83984375,11379.48046875,7914.89990234375
"2023-03-02",3981.35009765625,33003.5703125,11462.98046875,7944
"2023-03-03",4045.63989257812,33390.96875,11689.009765625,7947.10009765625
"2023-03-06",4048.419921875,33431.44140625,11675.740234375,7929.7998046875
"2023-03-07",3986.3701171875,32856.4609375,11530.330078125,7919.5
"2023-03-08",3992.01000976562,32798.3984375,11576,7929.89990234375
"2023-03-09",3918.32006835938,32254.859375,11338.349609375,7880
"2023-03-10",3861.59008789062,31909.640625,11138.8896484375,7748.39990234375
"2023-03-13",3855.76000976562,31819.140625,11188.83984375,7548.60009765625
"2023-03-14",3919.2900390625,32155.400390625,11428.150390625,7637.10009765625
"2023-03-15",3891.92993164062,31874.5703125,11434.0498046875,7344.5
